Date,MACD.EU,MACD.EJ,MACD.EC,MACD.EA,RSI.EU,RSI.EJ,RSI.EC,RSI.EA,CCI.EU,CCI.EJ,CCI.EC,CCI.EA,Momentum.EU,Momentum.EJ,Momentum.EC,Momentum.EA
2018.01.12,0.00525975,0.40543546,0.00229539,-0.00427145,61.31851768,48.35407182,57.08957651,39.34411524,70.87433548,-104.0241879,90.2286278,-106.5566537,100.7536994,99.28196303,100.4816824,99.50647587
2018.01.15,0.00667391,0.44611619,0.00277333,-0.00340888,70.0051994,57.58642226,63.25335699,53.89591111,188.8046724,55.89254766,247.865803,149.1786641,101.3651253,99.94834825,100.8164939,100.5247034
2018.01.16,0.00826023,0.46197585,0.00273886,-0.00265275,72.82273969,57.97164902,64.0503713,51.80618431,206.1696351,55.73616019,199.5659888,103.8635916,101.6935236,100.1181946,100.8339664,99.98830873
2018.01.17,0.00937704,0.48493169,0.00271733,-0.00291638,72.40334666,56.94255041,56.25255759,51.99711639,161.6912951,35.68079762,60.70474163,94.57364341,102.0318301,100.1664669,100.2121568,100.4311554
2018.01.18,0.00955245,0.52555029,0.00240865,-0.00298917,64.95809289,58.07996891,56.31919819,44.23004036,86.80833912,51.98768542,53.25793191,-45.16760025,100.9679451,99.67434612,100.0723183,99.62263413
2018.01.19,0.01000223,0.50463837,0.00250391,-0.00317966,67.50245951,60.04245721,51.88730786,44.75249066,99.95354027,82.4563775,-25.61060538,-33.41491691,101.7478505,99.92796395,100.0375225,100.0071939
2018.01.22,0.0104951,0.53275993,0.00264813,-0.00318418,68.96132456,57.81428129,58.47670139,48.01740614,98.60885143,50.73210442,98.88236542,17.19001086,102.5263246,100.2519729,100.8450945,100.4948321
2018.01.23,0.01069225,0.52024252,0.0026073,-0.00253001,68.06842599,59.75002072,58.52818684,45.11258489,79.18035725,78.43684802,85.22353319,-27.03280931,102.7154288,101.1595992,100.5346362,100.2543862
2018.01.24,0.0110272,0.49381729,0.00216508,-0.00180837,69.88819594,56.78030723,56.4870427,50.96917478,87.16071667,37.95731789,47.52412593,67.94130781,102.9355141,101.9051053,100.6357725,100.9179975
2018.01.25,0.01203507,0.47873407,0.00132169,-0.00079399,74.39322591,55.51335452,49.30713936,52.49869878,126.0995494,26.93619281,-60.81689933,84.85227097,103.1219091,101.2387556,99.82289582,100.968326
2018.01.26,0.01258147,0.40123316,0.00011138,-0.00102405,72.96863761,56.34822251,42.6447997,56.06851287,108.8768779,43.94808331,-155.3655851,119.2112384,101.648568,100.1247665,98.80296843,100.1355163
2018.01.29,0.01313102,0.33689787,-0.00078549,-0.00136972,74.28562501,51.38063626,37.89019842,47.87814912,117.2981023,-16.65354072,-206.6615779,-3.33609615,101.343185,99.64214565,98.28491128,99.58750966
2018.01.30,0.01305057,0.28209504,-0.00162918,-0.00124203,69.34637733,50.12518452,37.42363648,45.50016057,88.59622213,-39.39447613,-163.2620989,-51.20678879,101.0066977,99.63438144,98.66683671,99.3258427
2018.01.31,0.01299357,0.2862,-0.00251414,-0.00059416,70.25389052,50.03956243,36.09878565,48.97381013,90.63082161,-80.25155936,-145.1968299,-4.56952827,101.7819035,99.47710394,98.53172478,100.3663651
2018.02.01,0.01289657,0.3907358,-0.00295706,0.00110562,70.82629816,55.27791899,33.3230576,53.38782812,85.60288152,11.73205847,-135.5508475,73.11729804,101.4407832,99.68884475,98.50904038,100.7592255
2018.02.02,0.01343622,0.49067996,-0.0031954,0.00365085,74.94214339,63.65451023,37.9341478,61.30751056,138.6174324,257.4561404,-90.34794329,223.6257014,101.9562613,100.8564711,98.27223532,101.4484909
2018.02.05,0.01313394,0.38685638,-0.00395756,0.00549488,67.31118289,64.61713453,39.80363512,67.75523711,70.97600574,202.6416033,-68.59526134,265.3666147,101.4437665,100.7433714,98.37578348,102.7852621
2018.02.06,0.01218504,0.3551102,-0.00398311,0.00651006,60.7901079,48.40428428,33.03710101,66.1493576,9.24142002,-106.6619419,-115.9380139,172.6858126,100.557837,99.45448648,97.80498781,102.1244616
2018.02.07,0.01137454,0.20517675,-0.00402952,0.00740914,61.30288332,52.36596587,41.93372758,62.93138992,6.54268914,-12.26227772,-54.32114398,113.741543,99.74529891,100.0442798,98.82545613,101.6919638
2018.02.08,0.00970529,0.01413286,-0.00487752,0.00853965,52.10397712,44.01061828,40.6865498,63.87910738,-126.9274961,-179.0625905,-59.31431986,100.4411948,98.93733762,98.84974414,99.21546099,101.4873668
2018.02.09,0.00816083,-0.13052127,-0.00519754,0.00878879,50.96238159,39.91631236,33.36138618,66.45068252,-138.4518623,-200.8675541,-141.5632754,105.7800157,98.5458613,98.60564997,98.79933162,102.639784
2018.02.12,0.00686655,-0.2188341,-0.00508112,0.00856954,51.04239455,40.37852761,38.05326941,61.42024536,-133.6115224,-154.1937911,-103.8095238,65.66652514,98.91529969,98.76938588,99.18653649,102.4540319
2018.02.13,0.00612048,-0.31480757,-0.00489691,0.00895184,54.20135305,42.44548771,41.42069552,58.8552736,-84.43674985,-108.7425535,-59.24339435,43.04501558,99.11053408,99.00283211,99.57719986,101.8981442
2018.02.14,0.00593846,-0.38242432,-0.00452686,0.00909031,58.14805724,40.51148529,42.3026764,62.51702121,-15.75782011,-112.3317178,-34.88731812,70.36090247,99.49164968,98.24604123,99.93509753,101.9671599
2018.02.15,0.00651951,-0.47148673,-0.00450204,0.00936324,63.75563844,41.00375354,44.63172889,61.97568295,84.48494538,-88.9381176,15.63673391,59.73619231,99.52431585,97.3522856,99.85154625,100.9553014
2018.02.16,0.0073376,-0.6070486,-0.00462913,0.008971,66.41874748,38.40191713,41.18189024,63.58961372,126.6259739,-100.0643811,-57.29778482,72.13561211,100.5387325,96.85212352,99.39821361,100.1348849
2018.02.19,0.00708126,-0.67291561,-0.0045156,0.00855986,57.93014925,34.54427679,39.69076724,59.06107969,25.54151801,-122.1948673,-82.722676,33.58283082,100.2870752,97.73704341,99.93662204,99.90570305
2018.02.20,0.00683244,-0.70408872,-0.00417975,0.00791204,58.16044149,37.60272046,41.42335569,58.64447178,28.98284938,-89.95666499,-44.41200324,17.24703781,100.2472707,97.5509361,99.47091317,100.1539857
2018.02.21,0.00600282,-0.72208375,-0.00399344,0.00803467,52.88039432,38.72405541,44.41147506,56.37982126,-32.12287661,-74.70615634,11.65016502,-60.52777778,100.6051363,98.74684847,99.80469088,99.82836835
2018.02.22,0.00485046,-0.78858032,-0.00405962,0.0078581,49.15410477,38.55437623,42.65103751,61.40913144,-72.64541689,-73.65314219,-23.30888346,105.1138666,100.2907095,99.39021643,100.5213237,100.0069906
2018.02.23,0.00426647,-0.85123626,-0.00404366,0.00733187,52.26144192,34.78321482,39.89534239,59.54574892,-18.89806522,-125.2406256,-88.9050512,54.14725831,100.6646526,98.78332533,99.9192028,100.2884769
2018.02.26,0.00346755,-0.86533722,-0.00360378,0.00684878,49.71420454,35.77597476,41.97171018,55.84333451,-51.58085499,-100.7482501,-45.53814714,-46.52443842,100.0105774,98.63932843,99.79116842,100.2206941
2018.02.27,0.00299195,-0.89827288,-0.00374376,0.0065861,51.36139295,35.58429228,46.45372521,56.470505,-22.60262164,-96.51525031,65.31668354,-29.93464988,99.7238777,98.90270006,100.0225141,99.78359249
2018.02.28,0.00191515,-1.01068375,-0.00356109,0.00633714,45.70050565,33.39061234,40.12871376,57.94684273,-108.615604,-124.3244421,-121.5890289,20.28837998,98.25445023,98.54367474,99.2747798,99.97771254
2018.03.01,0.00073697,-1.06809188,-0.0030934,0.00690748,43.31356484,27.96570756,43.90378963,58.30449527,-138.8325785,-197.7245464,-43.40044743,41.49697303,97.51031703,98.01205727,99.8820366,99.79413278
2018.03.02,0.00038225,-1.11278382,-0.00268773,0.00763538,48.61698108,30.38917795,48.24020278,64.48306586,-68.44863403,-143.6565364,82.48936993,233.8450292,98.89530383,98.82071,100.366609,100.8328922
2018.03.05,0.00064402,-1.06898651,-0.00202098,0.00831969,53.05580357,29.40373541,47.913884,67.97450023,-1.84937539,-140.503077,66.20985162,259.0638502,99.4123669,98.36436231,100.2195285,101.3276002
2018.03.06,0.00085534,-0.97223379,-0.00090121,0.00843714,53.16386159,38.12675291,52.66180481,67.88524898,1.13347751,-53.80973497,171.5251109,177.074014,99.98865101,98.95000831,100.3818579,101.5077143
2018.03.07,0.0015536,-0.88527102,0.00032541,0.00856064,57.36938377,43.38110124,59.36028985,63.77794608,83.25319525,13.74344172,269.7601807,103.0797724,100.9852217,99.45749906,101.1681959,100.6627861
2018.03.08,0.00214679,-0.87565322,0.00129549,0.008157,57.84649195,43.38110124,62.66000367,64.634872,111.5691124,23.08962226,235.6652434,94.78941503,100.6659421,100.0159561,101.795496,100.9074884
2018.03.09,0.00178536,-0.80556916,0.00200406,0.0066964,50.27340633,38.35651794,62.5954844,59.3321078,-9.79091275,-58.09329354,161.7708074,39.41568061,100.148881,99.28029153,101.6559138,100.8616838
2018.03.12,0.00148663,-0.75320621,0.00239518,0.00537045,50.31501362,43.82041689,62.73526253,49.47991556,0.70263777,18.27237636,125.0552885,-68.63187487,99.96021274,99.8192643,101.3661273,100.0121196
2018.03.13,0.00142071,-0.65190526,0.00273334,0.00513273,51.97960041,42.78943396,59.60475138,48.36753776,38.47677528,8.9337266,85.29596376,-84.79650002,100.8363651,100.0022853,101.7535916,99.76242643
2018.03.14,0.00181157,-0.60076741,0.00288976,0.00434634,55.90275822,47.82007449,60.28086552,55.56955142,110.9887738,96.72169627,76.73935083,8.33413531,101.6321777,101.4354692,101.5466245,100.4087636
2018.03.15,0.0019049,-0.60443129,0.00313095,0.0042726,53.92438761,44.88455294,58.69459768,50.71069333,66.21978468,40.48317606,57.88892975,-51.89130917,100.836554,100.8986677,101.1226424,99.30807228
2018.03.16,0.00145295,-0.64995221,0.00325072,0.00533798,49.05439932,41.11968893,60.88966395,55.26786021,-25.23809524,-33.78714034,66.94046292,8.13419939,99.76728723,100.5873354,101.3341991,99.32695335
2018.03.19,0.00095307,-0.63329821,0.00358832,0.00661921,47.86531541,37.9717406,60.6303449,62.80088029,-43.97458805,-93.73610922,58.5410317,132.3475902,99.6221979,99.44118725,100.9454062,100.2927824
2018.03.20,0.00091911,-0.64183084,0.00361568,0.00711043,51.46049096,42.23067566,63.88502622,65.19352909,11.56326004,-22.98566259,85.63049519,154.4798924,99.44849829,99.35577975,100.5897834,100.9204023
2018.03.21,0.0001569,-0.60610193,0.00358395,0.00710953,44.92909317,40.19897002,59.76406757,61.21457626,-155.1282749,-76.26898048,55.15881773,92.42259969,98.65194795,99.08229002,100.0170831,100.4767821
2018.03.22,0.00031578,-0.67227327,0.00328133,0.00778006,51.78185522,43.75077116,59.5132648,58.56588766,4.92322289,-23.83217032,50.22590587,53.13234239,100.2290821,100.0711161,100.0085419,100.5822048
2018.03.23,0.0001742,-0.73504258,0.00319988,0.00867064,49.49650142,36.99732474,54.64811947,62.83874414,-55.02689284,-190.372939,-40.53001758,114.1263031,99.95694767,98.59562102,99.740364,101.970789
2018.03.26,0.00040512,-0.63281292,0.00358781,0.00938605,52.44254418,35.34307963,57.04248145,64.59494182,25.46694168,-182.2072226,-8.9230932,124.0973729,100.1183739,98.4513426,100.0924151,102.3437251
2018.03.27,0.00134643,-0.5881052,0.00365701,0.01054158,58.24874057,48.50473222,64.49216942,65.79737472,181.9355851,37.54799017,289.0015205,117.3924115,100.4277195,99.41104685,100.6311199,101.8351184
2018.03.28,0.00172476,-0.48000536,0.0039336,0.01062958,55.01450109,45.78603027,60.05127414,69.15669663,111.6277416,-16.84378839,123.7581699,136.4707555,100.2749208,99.35881346,100.4844729,102.8385823
2018.03.29,0.00125167,-0.4338758,0.00402091,0.01024473,48.69627475,50.58544471,63.38225829,63.00293078,-51.52705524,77.94682315,174.8659004,82.82009724,100.0251949,100.4814931,100.5955178,101.836322
2018.03.30,0.00080611,-0.39861331,0.00394697,0.00982248,48.21658175,47.47457723,61.48218366,59.62302265,-62.25306066,14.73079831,109.4409165,51.93367611,100.0952156,100.4851835,100.5075839,100.5574878
2018.04.02,0.00060899,-0.41295053,0.00383609,0.00965493,49.6295882,47.77073759,59.88206864,59.12449666,-25.56327003,24.7916377,71.29769891,39.79958558,99.88406126,100.1208099,100.1525469,100.1476227
2018.04.03,0.00028886,-0.37560276,0.00379963,0.00870287,48.24018802,43.99651736,57.42360392,60.90053372,-51.15864528,-54.74003539,29.16340211,57.32052007,100.4631142,99.85278783,100.233144,100.7180562
2018.04.04,-0.00020855,-0.31900718,0.00400217,0.00741663,46.11994591,47.50164538,59.5649923,55.0489857,-94.39740255,31.30320296,64.92978566,-25.6218083,99.4423822,99.94421732,100.402289,100.4410469
